code,equityName,type,currency,yahooCode,inverstingCode,iTradeCode,IBCode
BEP-UN,Brookfield Renewable,Share,CAD,BEP-UN.TO,,,
ACQ,Autocanada Inc,Share,CAD,ACQ.TO,,,
GLXY,Galaxy Digital,Share,CAD,GLXY.TO,,,
DII-B,Dorel Industries,Share,CAD,DII-B.TO,,,
WPRTT,Westport Fuel,Share,CAD,WPRT.TO,,,
DCBOT,Docebo,Share,CAD,DCBO.TO,,,
LSPDT,Lightspeed POS,Share,CAD,LSPD.TO,,,
SHOPT,Shopify Inc,Share,CAD,SHOP.TO,,,
CAET,CAE Inc.,Share,CAD,CAE.TO,,,
CF,Canaccord Genuity,Share,CAD,CF.TO,,,
CLIQ,Alcanna,Share,CAD,CLIQ.TO,,,
DR,Medical Facilities,Share,CAD,DR.TO,,,
MX,Methanex,Share,CAD,MX.TO,,,
BLDPT,Ballard,Share,CAD,BLDP.TO,,,
MAXRT,Maxar Tech,Share,CAD,MAXR.TO,,,
SCL,ShawCor,Share,CAD,SCL.TO,,,
TCS,TECSYS Inc.,Share,CAD,TCS.TO,,,
WCP,Whitecap Resources,Share,CAD,WCP.TO,,
CFX,Canfor Pulp Products,Share,CAD,CFX.TO,,,
UFST,Domtar Corporation,Share,CAD,UFS.TO,,,
UNS,Uni-Select Inc.,Share,CAD,UNS.TO,,,
GOOST,Canada Goose,Share,CAD,GOOS.TO,,,
CWEB,Charlotte's Web,Share,CAD,CWEB.TO,,,
EFX,Enerflex,Share,CAD,EFX.TO,,,
VFFT,Village Farms International Inc,Share,CAD,VFF.TO,,,
WELL,WELL Health,Share,CAD,WELL.TO,,,
WPRT,Westport Fuel,Share,USD,WPRT,,,
DCBO,Docebo,Share,USD,DCBO,,,
LSPD,Lightspeed POS,Share,USD,LSPD,,,
SHOP,Shopify Inc,Share,USD,SHOP,,,
CAE,CAE Inc.,Share,USD,CAE,,,
MEOH,Methanex,Share,USD,MEOH,,,
BLDP,Ballard,Share,USD,BLDP,,,
MAXR,Maxar Tech,Share,USD,MAXR,,,
UFS,Domtar Corporation,Share,USD,UFS,,,
GOOS,Canada Goose,Share,USD,GOOS,,,
FOOD,Goodfood Market Corp.,Share,CAD,FOOD.TO,FOOD,,
CWEBT,Charlotte's Web,Share,USD,CWEB,,,
VFF,Village Farms International Inc,Share,USD,VFF,,,
EARK,EMERGE ARK GLOBAL DISRUPTIVE IN,ETF,CAD,,EARK,,
EAAI,EMERGE ARK AI & BIG DATA ETF,ETF,CAD,,EAAI,,
ARKK,ARK Innovation ETF,ETF,USD,ARKK,ARKK,,
ARKW,ARK Next Generation Internet ETF,ETF,USD,ARKW,ARKW,,
HSD,BetaPro S&P 500 -2x Daily Bear ETF,ETF,CAD,HSD.TO,,,
HQD,BetaPro NASDAQ -2x Daily Bear ETF,ETF,CAD,HQD.TO,,,
XSP,iShares Core S&P 500 Index ETF,ETF,CAD,XSP.TO,,,
XQQ,iShares NASDAQ 100 Index ETF,ETF,CAD,XQQ.TO,,,
HUYA,HUYA Inc.,Share,USD,HUYA,HUYA,,
TSLA,TESLA INC,Share,USD,TSLA,TSLA,,
ROKU,ROKU INC,Share,USD,ROKU,ROKU,,
CRSP,CRISPR THERAPEUTICS AG,Share,USD,CRSP,CRSP,,
SQ,SQUARE INC - A,Share,USD,SQ,SQ,,
NVTA,INVITAE CORP,Share,USD,NVTA,NVTA,,
TDOC,TELADOC HEALTH INC,Share,USD,TDOC,TDOC,,
Z,ZILLOW GROUP INC - C,Share,USD,Z,Z,,
EDIT,EDITAS MEDICINE INC,Share,USD,EDIT,EDIT,,
PRLB,PROTO LABS INC,Share,USD,PRLB,PRLB,,
PSTG,PURE STORAGE INC - CLASS A,Share,USD,PSTG,PSTG,,
SPOT,SPOTIFY TECHNOLOGY SA,Share,USD,SPOT,SPOT,,
IOVA,IOVANCE BIOTHERAPEUTICS INC,Share,USD,IOVA,IOVA,,
PINS,PINS INC,Share,USD,PINS,PINS,,
FB,FACEBOOK INC,Share,USD,FB,FB,,
TWLO,TWILIO INC,Share,USD,TWLO,TWLO,,
SNAP,SNAP INC,Share,USD,SNAP,SNAP,,
PYPL,PAYPAL HOLDINGS INC,Share,USD,PYPL,PYPL,,
PD,PAGERDUTY INC,Share,USD,PD,PD,,
FSLY,FASTLY INC,Share,USD,FSLY,FSLY,,

